sku_id,period,actual_demand_qty,customer_segment
PRD-001,2025-08,1186,Aftermarket
PRD-001,2025-09,1352,Aftermarket
PRD-001,2025-10,1162,Aftermarket
PRD-001,2025-11,1031,Aftermarket
PRD-001,2025-12,955,Aftermarket
PRD-001,2026-01,1264,Aftermarket
PRD-001,2026-02,1265,Aftermarket
PRD-001,2026-03,1274,Aftermarket
PRD-001,2026-04,1229,Aftermarket
PRD-001,2026-05,1681,Aftermarket
PRD-001,2026-06,1529,Aftermarket
PRD-001,2026-07,1382,Aftermarket
PRD-002,2025-08,1205,Aftermarket
PRD-002,2025-09,1272,Aftermarket
PRD-002,2025-10,1319,Aftermarket
PRD-002,2025-11,981,Aftermarket
PRD-002,2025-12,1171,Aftermarket
PRD-002,2026-01,1243,Aftermarket
PRD-002,2026-02,1085,Aftermarket
PRD-002,2026-03,1194,Aftermarket
PRD-002,2026-04,1294,Aftermarket
PRD-002,2026-05,1529,Aftermarket
PRD-002,2026-06,1643,Aftermarket
PRD-002,2026-07,1479,Aftermarket
PRD-003,2025-08,1495,Wholesale
PRD-003,2025-09,1417,Wholesale
PRD-003,2025-10,1469,Wholesale
PRD-003,2025-11,1217,Wholesale
PRD-003,2025-12,1433,Wholesale
PRD-003,2026-01,1641,Wholesale
PRD-003,2026-02,1371,Wholesale
PRD-003,2026-03,1721,Wholesale
PRD-003,2026-04,1548,Wholesale
PRD-003,2026-05,2046,Wholesale
PRD-003,2026-06,2156,Wholesale
PRD-003,2026-07,2144,Wholesale
PRD-004,2025-08,532,Aftermarket
PRD-004,2025-09,483,Aftermarket
PRD-004,2025-10,552,Aftermarket
PRD-004,2025-11,479,Aftermarket
PRD-004,2025-12,388,Aftermarket
PRD-004,2026-01,574,Aftermarket
PRD-004,2026-02,477,Aftermarket
PRD-004,2026-03,555,Aftermarket
PRD-004,2026-04,549,Aftermarket
PRD-004,2026-05,617,Aftermarket
PRD-004,2026-06,693,Aftermarket
PRD-004,2026-07,694,Aftermarket
PRD-005,2025-08,838,Aftermarket
PRD-005,2025-09,881,Aftermarket
PRD-005,2025-10,859,Aftermarket
PRD-005,2025-11,767,Aftermarket
PRD-005,2025-12,616,Aftermarket
PRD-005,2026-01,860,Aftermarket
PRD-005,2026-02,909,Aftermarket
PRD-005,2026-03,832,Aftermarket
PRD-005,2026-04,832,Aftermarket
PRD-005,2026-05,947,Aftermarket
PRD-005,2026-06,1147,Aftermarket
PRD-005,2026-07,1120,Aftermarket
PRD-006,2025-08,1132,Wholesale
PRD-006,2025-09,1091,Wholesale
PRD-006,2025-10,1096,Wholesale
PRD-006,2025-11,1071,Wholesale
PRD-006,2025-12,923,Wholesale
PRD-006,2026-01,1223,Wholesale
PRD-006,2026-02,1179,Wholesale
PRD-006,2026-03,1264,Wholesale
PRD-006,2026-04,1321,Wholesale
PRD-006,2026-05,1477,Wholesale
PRD-006,2026-06,1416,Wholesale
PRD-006,2026-07,1650,Wholesale
PRD-007,2025-08,2744,Wholesale
PRD-007,2025-09,2810,Wholesale
PRD-007,2025-10,3228,Wholesale
PRD-007,2025-11,2385,Wholesale
PRD-007,2025-12,2365,Wholesale
PRD-007,2026-01,3094,Wholesale
PRD-007,2026-02,2973,Wholesale
PRD-007,2026-03,2754,Wholesale
PRD-007,2026-04,3228,Wholesale
PRD-007,2026-05,3995,Wholesale
