sku_id,warehouse_id,warehouse_name,snapshot_date,on_hand_qty,safety_stock_qty,reorder_point,lead_time_days,unit_cost_usd,inventory_value_usd,holding_cost_month_usd,avg_monthly_consumption,days_of_supply,velocity_category,last_movement_date,aging_days,stock_status
PRD-001,WHS-SBY-01,Surabaya Warehouse,2026-07-28,800,1750,2625,14,5.50,4400.00,66.00,3500,6.9,fast-moving,2026-07-26,4,critical_low
PRD-001,WHS-KRW-01,Karawang Warehouse,2026-07-28,18000,600,900,7,5.50,99000.00,1485.00,1200,450.0,dead-moving,2026-06-05,107,overstock
PRD-002,WHS-SBY-01,Surabaya Warehouse,2026-07-28,1200,1600,2400,10,12.00,14400.00,216.00,3200,11.2,fast-moving,2026-07-24,8,low
PRD-002,WHS-KRW-01,Karawang Warehouse,2026-07-28,6500,400,600,7,12.00,78000.00,1170.00,800,243.8,dead-moving,2026-06-24,68,overstock
PRD-003,WHS-SBY-01,Surabaya Warehouse,2026-07-28,4500,1400,2100,14,8.00,36000.00,540.00,2800,48.2,normal,2026-07-26,4,healthy
PRD-003,WHS-KRW-01,Karawang Warehouse,2026-07-28,22000,750,1125,14,8.00,176000.00,2640.00,1500,440.0,dead-moving,2026-06-05,107,overstock
PRD-004,WHS-SBY-01,Surabaya Warehouse,2026-07-28,10000,489,733,14,35.00,350000.00,5250.00,978,306.7,dead-moving,2026-06-15,87,overstock
PRD-004,WHS-KRW-01,Karawang Warehouse,2026-07-28,2000,430,645,7,35.00,70000.00,1050.00,861,69.7,slow-moving,2026-07-25,7,healthy
PRD-005,WHS-SBY-01,Surabaya Warehouse,2026-07-28,3000,917,1375,14,22.00,66000.00,990.00,1834,49.1,normal,2026-07-28,1,healthy
PRD-005,WHS-KRW-01,Karawang Warehouse,2026-07-28,10000,603,905,14,22.00,220000.00,3300.00,1207,248.6,dead-moving,2026-06-08,101,overstock
PRD-006,WHS-SBY-01,Surabaya Warehouse,2026-07-28,2000,2000,3000,14,15.00,30000.00,450.00,4000,15.0,normal,2026-07-19,18,low
PRD-006,WHS-KRW-01,Karawang Warehouse,2026-07-28,12000,500,750,10,15.00,180000.00,2700.00,1000,360.0,dead-moving,2026-06-21,74,overstock
PRD-007,WHS-SBY-01,Surabaya Warehouse,2026-07-28,8000,684,1026,7,2.50,20000.00,300.00,1369,175.3,dead-moving,2026-07-01,54,overstock
PRD-007,WHS-KRW-01,Karawang Warehouse,2026-07-28,3000,832,1248,10,2.50,7500.00,112.50,1665,54.1,normal,2026-07-24,9,healthy
PRD-008,WHS-SBY-01,Surabaya Warehouse,2026-07-28,3000,620,930,10,7.50,22500.00,337.50,1240,72.6,slow-moving,2026-07-26,4,healthy
PRD-008,WHS-KRW-01,Karawang Warehouse,2026-07-28,2000,789,1183,7,7.50,15000.00,225.00,1578,38.0,normal,2026-07-22,12,healthy
PRD-009,WHS-SBY-01,Surabaya Warehouse,2026-07-28,200,1100,1650,10,45.00,9000.00,135.00,2200,2.7,fast-moving,2026-07-18,20,critical_low
PRD-009,WHS-KRW-01,Karawang Warehouse,2026-07-28,3500,250,375,10,45.00,157500.00,2362.50,500,210.0,dead-moving,2026-06-03,111,overstock
PRD-010,WHS-SBY-01,Surabaya Warehouse,2026-07-28,2000,870,1305,14,28.00,56000.00,840.00,1740,34.5,normal,2026-07-26,4,healthy
PRD-010,WHS-KRW-01,Karawang Warehouse,2026-07-28,8000,480,720,14,28.00,224000.00,3360.00,961,249.7,dead-moving,2026-06-19,78,overstock
PRD-011,WHS-SBY-01,Surabaya Warehouse,2026-07-28,10000,770,1155,14,3.00,30000.00,450.00,1540,194.8,dead-moving,2026-06-22,72,overstock
PRD-011,WHS-KRW-01,Karawang Warehouse,2026-07-28,2000,446,669,14,3.00,6000.00,90.00,893,67.2,slow-moving,2026-07-24,8,healthy
PRD-012,WHS-SBY-01,Surabaya Warehouse,2026-07-28,5000,481,722,7,6.00,30000.00,450.00,963,155.8,dead-moving,2026-06-30,57,overstock
PRD-012,WHS-KRW-01,Karawang Warehouse,2026-07-28,2000,789,1183,10,6.00,12000.00,180.00,1578,38.0,normal,2026-07-21,15,healthy
PRD-013,WHS-SBY-01,Surabaya Warehouse,2026-07-28,5000,566,849,10,4.00,20000.00,300.00,1133,132.4,dead-moving,2026-07-08,41,overstock
PRD-013,WHS-KRW-01,Karawang Warehouse,2026-07-28,3000,673,1009,14,4.00,12000.00,180.00,1346,66.9,slow-moving,2026-07-17,22,healthy
PRD-014,WHS-SBY-01,Surabaya Warehouse,2026-07-28,2000,575,862,14,0.15,300.00,4.50,1150,52.2,normal,2026-07-16,24,healthy
PRD-014,WHS-KRW-01,Karawang Warehouse,2026-07-28,3000,567,850,10,0.15,450.00,6.75,1134,79.4,slow-moving,2026-07-22,13,healthy
PRD-015,WHS-SBY-01,Surabaya Warehouse,2026-07-28,5000,970,1455,7,18.00,90000.00,1350.00,1940,77.3,slow-moving,2026-07-17,22,healthy
PRD-015,WHS-KRW-01,Karawang Warehouse,2026-07-28,5000,457,685,7,18.00,90000.00,1350.00,914,164.1,dead-moving,2026-06-30,56,overstock
