shipment_export_id,port_code,customs_status,queue_time_hours,expected_ship_date,actual_ship_date
EXP-2025000,JKT,Cleared,3.0,2025-09-09,2025-09-09
EXP-2025001,JKT,Cleared,1.0,2026-04-15,2026-04-15
EXP-2025002,BTN,Cleared,2.0,2025-11-23,2025-11-23
EXP-2025003,JKT,Cleared,4.0,2025-09-05,2025-09-05
EXP-2025004,JKT,In Queue,18.0,2026-01-15,2026-01-15
EXP-2025005,JKT,Cleared,3.0,2025-11-11,2025-11-11
EXP-2025006,TPK,In Queue,48.0,2026-06-15,2026-06-15
EXP-2025007,TPK,Cleared,2.0,2026-05-07,2026-05-07
EXP-2025008,TPK,Cleared,1.0,2026-02-26,2026-02-26
EXP-2025009,TPK,In Queue,36.0,2026-01-25,2026-01-25
EXP-2025010,BTN,Cleared,3.0,2025-08-01,2025-08-01
EXP-2025011,BTN,Inspection,48.0,2025-09-23,2025-09-23
EXP-2025012,TPK,Inspection,72.0,2025-08-31,2025-08-31
EXP-2025013,TPK,In Queue,8.0,2025-08-23,2025-08-23
EXP-2025014,JKT,Inspection,48.0,2026-03-23,2026-03-23
EXP-2025015,TPK,Cleared,6.0,2025-10-08,2025-10-08
EXP-2025016,BTN,Inspection,24.0,2026-05-31,2026-05-31
EXP-2025017,JKT,Cleared,2.0,2025-12-28,2025-12-28
EXP-2025018,TPK,Cleared,4.0,2026-07-25,2026-07-25
EXP-2025019,BTN,Cleared,3.0,2026-03-20,2026-03-20
EXP-2025020,TPK,In Queue,8.0,2025-11-12,2025-11-12
EXP-2025021,JKT,Cleared,2.0,2025-09-24,2025-09-24
EXP-2025022,TPK,Cleared,4.0,2026-01-08,2026-01-08
EXP-2025023,JKT,Cleared,6.0,2026-01-31,2026-01-31
EXP-2025024,TPK,Cleared,3.0,2026-03-26,2026-03-26
EXP-2025025,TPK,Cleared,1.0,2025-10-20,2025-10-20
EXP-2025026,BTN,In Queue,48.0,2026-07-23,2026-07-23
EXP-2025027,TPK,Cleared,2.0,2025-09-16,2025-09-16
EXP-2025028,BTN,In Queue,18.0,2026-02-19,2026-02-19
EXP-2025029,BTN,In Queue,18.0,2025-10-29,2025-10-29
EXP-2025030,JKT,Cleared,6.0,2026-05-09,2026-05-09
EXP-2025031,TPK,Cleared,4.0,2025-09-22,2025-09-22
EXP-2025032,TPK,Cleared,1.0,2025-09-01,2025-09-01
EXP-2025033,TPK,Cleared,2.0,2026-02-22,2026-02-22
EXP-2025034,TPK,Cleared,6.0,2026-05-28,2026-05-28
EXP-2025035,TPK,Cleared,1.0,2025-09-03,2025-09-03
EXP-2025036,TPK,Cleared,2.0,2025-09-17,2025-09-17
EXP-2025037,TPK,Cleared,1.0,2026-03-25,2026-03-25
EXP-2025038,TPK,Cleared,6.0,2026-03-10,2026-03-10
EXP-2025039,BTN,Inspection,72.0,2025-08-16,2025-08-16
