production_order_id,plant_id,line_id,product_id,planned_qty,actual_qty,planned_start,planned_end,actual_start,actual_end,downtime_hours,downtime_reason
PROD-2025000,PLT-SBY-01,Line 1,PRD-004,3000,2501,2026-05-18,2026-05-21,2026-05-18,2026-05-22,14,scheduled maintenance
PROD-2025001,PLT-KRW-02,Line 3,PRD-006,1500,1500,2025-09-09,2025-09-21,2025-09-09,2025-09-21,0,
PROD-2025002,PLT-KRW-02,Line 4,PRD-006,2500,2500,2025-12-21,2025-12-27,2025-12-22,2025-12-27,0,
PROD-2025003,PLT-SBY-01,Line 2,PRD-008,2000,2000,2026-02-15,2026-02-26,2026-02-15,2026-02-26,0,
PROD-2025004,PLT-KRW-02,Line 4,PRD-004,2000,2000,2025-12-25,2026-01-08,2025-12-26,2026-01-08,0,
PROD-2025005,PLT-KRW-02,Line 2,PRD-002,1000,1000,2025-09-07,2025-09-17,2025-09-07,2025-09-17,0,
PROD-2025006,PLT-KRW-02,Line 1,PRD-013,2500,2500,2026-01-11,2026-01-24,2026-01-11,2026-01-24,0,
PROD-2025007,PLT-SBY-01,Line 5,PRD-009,1200,1200,2026-01-01,2026-01-06,2026-01-01,2026-01-06,0,
PROD-2025008,PLT-SBY-01,Line 3,PRD-009,1000,1000,2025-10-02,2025-10-08,2025-10-02,2025-10-08,0,
PROD-2025009,PLT-SBY-01,Line 4,PRD-001,1200,1200,2026-05-11,2026-05-23,2026-05-11,2026-05-23,0,
PROD-2025010,PLT-SBY-01,Line 5,PRD-015,800,723,2026-04-03,2026-04-14,2026-04-03,2026-04-15,4,quality inspection hold
PROD-2025011,PLT-KRW-02,Line 5,PRD-002,1000,1000,2026-01-10,2026-01-23,2026-01-10,2026-01-23,0,
PROD-2025012,PLT-KRW-02,Line 5,PRD-006,1000,1000,2026-05-10,2026-05-23,2026-05-10,2026-05-23,0,
PROD-2025013,PLT-SBY-01,Line 4,PRD-009,3000,3000,2025-08-29,2025-09-02,2025-08-29,2025-09-02,0,
