sku_id,warehouse_id,period,actual_consumption_qty,avg_daily_consumption,trend_direction,demand_variability
PRD-001,WHS-SBY-01,2025-08,3237,107.9,stable,0.08
PRD-001,WHS-SBY-01,2025-09,3420,114.0,increasing,0.07
PRD-001,WHS-SBY-01,2025-10,3860,128.7,increasing,0.14
PRD-001,WHS-SBY-01,2025-11,3549,118.3,increasing,0.12
PRD-001,WHS-SBY-01,2026-12,3648,121.6,increasing,0.14
PRD-001,WHS-SBY-01,2026-01,3737,124.6,increasing,0.08
PRD-001,WHS-SBY-01,2026-02,3660,122.0,increasing,0.11
PRD-001,WHS-SBY-01,2026-03,3720,124.0,increasing,0.11
PRD-001,WHS-SBY-01,2026-04,4169,139.0,increasing,0.09
PRD-001,WHS-SBY-01,2026-05,3794,126.5,increasing,0.15
PRD-001,WHS-SBY-01,2026-06,4031,134.4,increasing,0.06
PRD-001,WHS-SBY-01,2026-07,3782,126.1,increasing,0.06
PRD-001,WHS-SBY-01,2026-08,4214,140.5,increasing,0.13
PRD-001,WHS-KRW-01,2025-08,1185,39.5,stable,0.06
PRD-001,WHS-KRW-01,2025-09,1167,38.9,decreasing,0.15
PRD-001,WHS-KRW-01,2025-10,1186,39.5,decreasing,0.15
PRD-001,WHS-KRW-01,2025-11,1238,41.3,decreasing,0.05
PRD-001,WHS-KRW-01,2026-12,1202,40.1,decreasing,0.12
PRD-001,WHS-KRW-01,2026-01,1158,38.6,decreasing,0.08
PRD-001,WHS-KRW-01,2026-02,1168,38.9,decreasing,0.06
PRD-001,WHS-KRW-01,2026-03,1120,37.3,decreasing,0.1
PRD-001,WHS-KRW-01,2026-04,1204,40.1,decreasing,0.14
PRD-001,WHS-KRW-01,2026-05,1071,35.7,decreasing,0.1
PRD-001,WHS-KRW-01,2026-06,1047,34.9,decreasing,0.14
PRD-001,WHS-KRW-01,2026-07,1159,38.6,decreasing,0.08
PRD-001,WHS-KRW-01,2026-08,1108,36.9,decreasing,0.11
PRD-002,WHS-SBY-01,2025-08,3022,100.7,stable,0.25
PRD-002,WHS-SBY-01,2025-09,3268,108.9,increasing,0.25
PRD-002,WHS-SBY-01,2025-10,3312,110.4,increasing,0.25
PRD-002,WHS-SBY-01,2025-11,3249,108.3,increasing,0.25
PRD-002,WHS-SBY-01,2026-12,3624,120.8,increasing,0.25
PRD-002,WHS-SBY-01,2026-01,3622,120.7,increasing,0.25
PRD-002,WHS-SBY-01,2026-02,3241,108.0,increasing,0.25
PRD-002,WHS-SBY-01,2026-03,3788,126.3,increasing,0.25
PRD-002,WHS-SBY-01,2026-04,3575,119.2,increasing,0.25
PRD-002,WHS-SBY-01,2026-05,3783,126.1,increasing,0.25
PRD-002,WHS-SBY-01,2026-06,3461,115.4,increasing,0.25
PRD-002,WHS-SBY-01,2026-07,3757,125.2,increasing,0.25
PRD-002,WHS-SBY-01,2026-08,4001,133.4,increasing,0.25
PRD-002,WHS-KRW-01,2025-08,763,25.4,stable,0.1
PRD-002,WHS-KRW-01,2025-09,822,27.4,decreasing,0.07
PRD-002,WHS-KRW-01,2025-10,763,25.4,decreasing,0.15
PRD-002,WHS-KRW-01,2025-11,799,26.6,decreasing,0.09
PRD-002,WHS-KRW-01,2026-12,776,25.9,decreasing,0.06
PRD-002,WHS-KRW-01,2026-01,734,24.5,decreasing,0.08
PRD-002,WHS-KRW-01,2026-02,772,25.7,decreasing,0.07
PRD-002,WHS-KRW-01,2026-03,721,24.0,decreasing,0.06
PRD-002,WHS-KRW-01,2026-04,764,25.5,decreasing,0.07
PRD-002,WHS-KRW-01,2026-05,790,26.3,decreasing,0.14
PRD-002,WHS-KRW-01,2026-06,685,22.8,decreasing,0.07
PRD-002,WHS-KRW-01,2026-07,749,25.0,decreasing,0.07
PRD-002,WHS-KRW-01,2026-08,680,22.7,decreasing,0.14
PRD-003,WHS-SBY-01,2025-08,2831,94.4,stable,0.1
PRD-003,WHS-SBY-01,2025-09,2971,99.0,increasing,0.13
PRD-003,WHS-SBY-01,2025-10,2741,91.4,increasing,0.06
PRD-003,WHS-SBY-01,2025-11,2893,96.4,increasing,0.09
PRD-003,WHS-SBY-01,2026-12,2952,98.4,increasing,0.12
PRD-003,WHS-SBY-01,2026-01,3093,103.1,increasing,0.15
PRD-003,WHS-SBY-01,2026-02,2855,95.2,increasing,0.09
PRD-003,WHS-SBY-01,2026-03,3014,100.5,increasing,0.14
PRD-003,WHS-SBY-01,2026-04,3009,100.3,increasing,0.07
PRD-003,WHS-SBY-01,2026-05,3151,105.0,increasing,0.09
PRD-003,WHS-SBY-01,2026-06,3105,103.5,increasing,0.07
PRD-003,WHS-SBY-01,2026-07,3482,116.1,increasing,0.09
PRD-003,WHS-SBY-01,2026-08,3495,116.5,increasing,0.11
PRD-003,WHS-KRW-01,2025-08,1392,46.4,stable,0.15
PRD-003,WHS-KRW-01,2025-09,1568,52.3,decreasing,0.15
PRD-003,WHS-KRW-01,2025-10,1576,52.5,decreasing,0.13
PRD-003,WHS-KRW-01,2025-11,1385,46.2,decreasing,0.1
PRD-003,WHS-KRW-01,2026-12,1385,46.2,decreasing,0.09
PRD-003,WHS-KRW-01,2026-01,1338,44.6,decreasing,0.09
PRD-003,WHS-KRW-01,2026-02,1538,51.3,decreasing,0.08
PRD-003,WHS-KRW-01,2026-03,1480,49.3,decreasing,0.1
PRD-003,WHS-KRW-01,2026-04,1386,46.2,decreasing,0.15
PRD-003,WHS-KRW-01,2026-05,1502,50.1,decreasing,0.11
PRD-003,WHS-KRW-01,2026-06,1428,47.6,decreasing,0.07
PRD-003,WHS-KRW-01,2026-07,1323,44.1,decreasing,0.15
PRD-003,WHS-KRW-01,2026-08,1373,45.8,decreasing,0.1
PRD-004,WHS-SBY-01,2025-08,1339,44.6,stable,0.11
PRD-004,WHS-SBY-01,2025-09,1464,48.8,increasing,0.14
PRD-004,WHS-SBY-01,2025-10,1403,46.8,increasing,0.15
PRD-004,WHS-SBY-01,2025-11,1405,46.8,increasing,0.07
PRD-004,WHS-SBY-01,2026-12,1551,51.7,increasing,0.12
PRD-004,WHS-SBY-01,2026-01,1484,49.5,increasing,0.06
PRD-004,WHS-SBY-01,2026-02,1669,55.6,increasing,0.07
PRD-004,WHS-SBY-01,2026-03,1617,53.9,increasing,0.11
PRD-004,WHS-SBY-01,2026-04,1594,53.1,increasing,0.11
PRD-004,WHS-SBY-01,2026-05,1642,54.7,increasing,0.14
PRD-004,WHS-SBY-01,2026-06,1579,52.6,increasing,0.12
PRD-004,WHS-SBY-01,2026-07,1609,53.6,increasing,0.09
PRD-004,WHS-SBY-01,2026-08,1748,58.3,increasing,0.08
PRD-004,WHS-KRW-01,2025-08,1546,51.5,stable,0.14
PRD-004,WHS-KRW-01,2025-09,1322,44.1,decreasing,0.11
PRD-004,WHS-KRW-01,2025-10,1438,47.9,decreasing,0.06
PRD-004,WHS-KRW-01,2025-11,1420,47.3,decreasing,0.1
PRD-004,WHS-KRW-01,2026-12,1318,43.9,decreasing,0.08
PRD-004,WHS-KRW-01,2026-01,1293,43.1,decreasing,0.07
PRD-004,WHS-KRW-01,2026-02,1330,44.3,decreasing,0.09
PRD-004,WHS-KRW-01,2026-03,1375,45.8,decreasing,0.08
PRD-004,WHS-KRW-01,2026-04,1459,48.6,decreasing,0.13
PRD-004,WHS-KRW-01,2026-05,1349,45.0,decreasing,0.12
PRD-004,WHS-KRW-01,2026-06,1342,44.7,decreasing,0.14
PRD-004,WHS-KRW-01,2026-07,1235,41.2,decreasing,0.14
PRD-004,WHS-KRW-01,2026-08,1258,41.9,decreasing,0.14
PRD-005,WHS-SBY-01,2025-08,1826,60.9,stable,0.08
PRD-005,WHS-SBY-01,2025-09,1871,62.4,increasing,0.08
PRD-005,WHS-SBY-01,2025-10,2050,68.3,increasing,0.14
PRD-005,WHS-SBY-01,2025-11,2021,67.4,increasing,0.08
PRD-005,WHS-SBY-01,2026-12,2182,72.7,increasing,0.06
PRD-005,WHS-SBY-01,2026-01,2122,70.7,increasing,0.13
PRD-005,WHS-SBY-01,2026-02,1953,65.1,increasing,0.08
PRD-005,WHS-SBY-01,2026-03,2009,67.0,increasing,0.15
PRD-005,WHS-SBY-01,2026-04,2047,68.2,increasing,0.09
PRD-005,WHS-SBY-01,2026-05,2266,75.5,increasing,0.11
PRD-005,WHS-SBY-01,2026-06,2084,69.5,increasing,0.14
PRD-005,WHS-SBY-01,2026-07,2320,77.3,increasing,0.06
PRD-005,WHS-SBY-01,2026-08,2111,70.4,increasing,0.09
PRD-005,WHS-KRW-01,2025-08,1822,60.7,stable,0.06
PRD-005,WHS-KRW-01,2025-09,1856,61.9,decreasing,0.14
PRD-005,WHS-KRW-01,2025-10,1990,66.3,decreasing,0.14
PRD-005,WHS-KRW-01,2025-11,2004,66.8,decreasing,0.07
PRD-005,WHS-KRW-01,2026-12,1794,59.8,decreasing,0.06
PRD-005,WHS-KRW-01,2026-01,1936,64.5,decreasing,0.14
PRD-005,WHS-KRW-01,2026-02,1810,60.3,decreasing,0.11
PRD-005,WHS-KRW-01,2026-03,1722,57.4,decreasing,0.14
PRD-005,WHS-KRW-01,2026-04,1912,63.7,decreasing,0.15
PRD-005,WHS-KRW-01,2026-05,1881,62.7,decreasing,0.14
PRD-005,WHS-KRW-01,2026-06,1641,54.7,decreasing,0.12
PRD-005,WHS-KRW-01,2026-07,1713,57.1,decreasing,0.14
PRD-005,WHS-KRW-01,2026-08,1830,61.0,decreasing,0.14
PRD-006,WHS-SBY-01,2025-08,4198,139.9,stable,0.08
PRD-006,WHS-SBY-01,2025-09,4246,141.5,increasing,0.06
PRD-006,WHS-SBY-01,2025-10,4365,145.5,increasing,0.14
PRD-006,WHS-SBY-01,2025-11,3994,133.1,increasing,0.13
PRD-006,WHS-SBY-01,2026-12,4213,140.4,increasing,0.08
PRD-006,WHS-SBY-01,2026-01,4503,150.1,increasing,0.07
PRD-006,WHS-SBY-01,2026-02,4027,134.2,increasing,0.07
PRD-006,WHS-SBY-01,2026-03,4298,143.3,increasing,0.14
PRD-006,WHS-SBY-01,2026-04,4814,160.5,increasing,0.08
PRD-006,WHS-SBY-01,2026-05,4642,154.7,increasing,0.09
PRD-006,WHS-SBY-01,2026-06,4954,165.1,increasing,0.1
PRD-006,WHS-SBY-01,2026-07,4987,166.2,increasing,0.06
PRD-006,WHS-SBY-01,2026-08,5075,169.2,increasing,0.07
PRD-006,WHS-KRW-01,2025-08,1074,35.8,stable,0.08
PRD-006,WHS-KRW-01,2025-09,929,31.0,decreasing,0.09
PRD-006,WHS-KRW-01,2025-10,1019,34.0,decreasing,0.08
