delivery_order_id,customer_id,product_id,promised_delivery_date,actual_delivery_date,qty,order_value,plant_id,delivery_status
DO-202500,CUST-0005,PRD-005,2025-11-10,2025-11-10,100,15000.00,PLT-BKS-03,Completed
DO-202501,CUST-0001,PRD-004,2025-11-19,,1000,2500.00,PLT-KRW-02,In Transit
DO-202502,CUST-0020,PRD-011,2026-08-01,2026-07-31,100,15000.00,PLT-KRW-02,Completed
DO-202503,CUST-0008,PRD-009,2025-11-25,2025-11-25,200,15000.00,PLT-SBY-01,Completed
DO-202504,CUST-0019,PRD-006,2026-05-28,2026-05-26,200,15000.00,PLT-SBY-01,Completed
DO-202505,CUST-0017,PRD-004,2026-03-05,2026-03-05,1000,35000.00,PLT-BKS-03,Completed
DO-202506,CUST-0014,PRD-009,2026-04-16,,500,25000.00,PLT-KRW-02,In Transit
DO-202507,CUST-0017,PRD-006,2026-07-28,2026-07-27,500,75000.00,PLT-SBY-01,Completed
DO-202508,CUST-0018,PRD-008,2025-12-07,2025-12-05,200,40000.00,PLT-SBY-01,Completed
DO-202509,CUST-0018,PRD-007,2026-03-07,2026-03-06,800,40000.00,PLT-KRW-02,Completed
DO-202510,CUST-0007,PRD-006,2026-07-03,,800,42000.00,PLT-KRW-02,In Transit
DO-202511,CUST-0003,PRD-009,2025-11-11,,800,25000.00,PLT-SBY-01,In Transit
DO-202512,CUST-0003,PRD-004,2026-06-02,2026-06-01,800,40000.00,PLT-KRW-02,Completed
DO-202513,CUST-0010,PRD-015,2025-08-13,2025-08-15,100,20000.00,PLT-SBY-01,Completed
DO-202514,CUST-0020,PRD-012,2025-11-18,2025-11-17,1000,100000.00,PLT-KRW-02,Completed
DO-202515,CUST-0013,PRD-008,2026-05-06,2026-05-04,500,50000.00,PLT-BKS-03,Completed
DO-202516,CUST-0016,PRD-008,2025-09-25,2025-09-22,500,25000.00,PLT-KRW-02,Completed
DO-202517,CUST-0011,PRD-007,2025-08-29,2025-08-28,200,3000.00,PLT-KRW-02,Completed
DO-202518,CUST-0018,PRD-015,2026-06-01,2026-05-29,500,17500.00,PLT-SBY-01,Completed
DO-202519,CUST-0011,PRD-004,2026-02-16,2026-02-15,800,80000.00,PLT-KRW-02,Completed
DO-202520,CUST-0016,PRD-012,2026-06-30,2026-06-27,200,20000.00,PLT-SBY-01,Completed
DO-202521,CUST-0005,PRD-012,2026-05-12,2026-05-12,1000,15000.00,PLT-SBY-01,Completed
DO-202522,CUST-0002,PRD-013,2025-08-09,2025-08-08,100,3500.00,PLT-SBY-01,Completed
DO-202523,CUST-0007,PRD-009,2026-03-27,2026-03-24,800,12000.00,PLT-SBY-01,Completed
DO-202524,CUST-0018,PRD-009,2026-03-04,,1000,25000.00,PLT-KRW-02,In Transit
DO-202525,CUST-0018,PRD-005,2025-08-14,2025-08-11,200,5000.00,PLT-SBY-01,Completed
DO-202526,CUST-0017,PRD-003,2025-12-07,2025-12-12,500,50000.00,PLT-KRW-02,Completed
DO-202527,CUST-0013,PRD-002,2026-02-13,2026-02-10,1000,50000.00,PLT-BKS-03,Completed
DO-202528,CUST-0008,PRD-005,2026-07-22,2026-07-22,100,2500.00,PLT-KRW-02,Completed
DO-202529,CUST-0013,PRD-007,2026-05-15,2026-05-15,200,5000.00,PLT-KRW-02,Completed
DO-202530,CUST-0014,PRD-011,2026-01-22,2026-01-22,1000,15000.00,PLT-SBY-01,Completed
DO-202531,CUST-0007,PRD-015,2026-07-26,2026-07-23,500,7500.00,PLT-SBY-01,Completed
