invoice_id,invoice_date,po_number,supplier_id,product_id,invoiced_qty,unit_price,invoice_amount,currency,erp_supplier_name_raw
INV-2025-1000,2026-03-18,PO-77820-PT,SUP-001,PRD-001,475,5.50,2612.50,USD,PT Steelindo Utama Tbk
INV-2025-1001,2026-04-02,PO-77821-PT,SUP-002,PRD-002,2500,12.00,30000.00,USD,CV Bina Karya Metal
INV-2025-1002,2026-07-30,PO-77822-PT,SUP-003,PRD-003,5000,8.00,40000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1003,2025-12-23,PO-77823-PT,SUP-004,PRD-004,10000,35.00,350000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1004,2026-03-18,PO-77824-PT,SUP-005,PRD-005,1000,22.00,22000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1005,2026-06-08,PO-77825-PT,SUP-006,PRD-006,500,15.00,7500.00,USD,CV Mitra Teknik Bersama
INV-2025-1006,2026-03-15,PO-77826-PT,SUP-007,PRD-007,3000,2.50,7500.00,USD,PT Surya Cipta Metalindo
INV-2025-1007,2026-06-11,PO-77827-PT,SUP-008,PRD-008,2500,7.50,18750.00,USD,PT Cakra Sentosa Abadi
INV-2025-1008,2025-08-19,PO-77828-PT,SUP-009,PRD-009,1000,45.00,45000.00,USD,PT Waskita Beton Precast
INV-2025-1009,2025-12-01,PO-77829-PT,SUP-010,PRD-010,500,28.00,14000.00,USD,CV Delta Prima Energi
INV-2025-1010,2026-07-16,PO-77830-PT,SUP-001,PRD-011,2500,3.00,7500.00,USD,PT Steelindo Utama Tbk
INV-2025-1011,2026-05-28,PO-77831-PT,SUP-002,PRD-012,500,6.00,3000.00,USD,CV Bina Karya Metal
INV-2025-1012,2025-11-03,PO-77832-PT,SUP-003,PRD-013,10000,4.00,40000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1013,2026-04-28,PO-77833-PT,SUP-004,PRD-014,10000,0.15,1500.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1014,2025-12-26,PO-77834-PT,SUP-005,PRD-015,1500,18.00,27000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1015,2026-06-01,PO-77835-PT,SUP-006,PRD-001,5000,5.50,27500.00,USD,CV Mitra Teknik Bersama
INV-2025-1016,2026-06-27,PO-77836-PT,SUP-007,PRD-002,10000,12.00,120000.00,USD,PT Surya Cipta Metalindo
INV-2025-1017,2025-09-21,PO-77837-PT,SUP-008,PRD-003,10000,8.00,80000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1018,2026-01-31,PO-77838-PT,SUP-009,PRD-004,5000,35.00,175000.00,USD,PT Waskita Beton Precast
INV-2025-1019,2026-01-23,PO-77839-PT,SUP-010,PRD-005,3000,22.00,66000.00,USD,CV Delta Prima Energi
INV-2025-1020,2026-07-15,PO-77840-PT,SUP-001,PRD-006,475,15.00,7125.00,USD,PT Steelindo Utama Tbk
INV-2025-1021,2025-10-27,PO-77841-PT,SUP-002,PRD-007,3000,2.50,7500.00,USD,CV Bina Karya Metal
INV-2025-1022,2026-03-04,PO-77842-PT,SUP-003,PRD-008,10000,7.50,75000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1023,2025-12-31,PO-77843-PT,SUP-004,PRD-009,5000,45.00,225000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1024,2026-05-14,PO-77844-PT,SUP-005,PRD-010,500,28.00,14000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1025,2026-03-26,PO-77845-PT,SUP-006,PRD-011,1000,3.00,3000.00,USD,CV Mitra Teknik Bersama
INV-2025-1026,2026-01-14,PO-77846-PT,SUP-007,PRD-012,2500,6.00,15000.00,USD,PT Surya Cipta Metalindo
INV-2025-1027,2026-01-18,PO-77847-PT,SUP-008,PRD-013,1000,4.00,4000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1028,2026-02-28,PO-77848-PT,SUP-009,PRD-014,500,0.15,75.00,USD,PT Waskita Beton Precast
INV-2025-1029,2026-07-08,PO-77849-PT,SUP-010,PRD-015,10000,18.00,180000.00,USD,CV Delta Prima Energi
INV-2025-1030,2026-03-05,PO-77850-PT,SUP-001,PRD-001,500,5.50,2750.00,USD,PT Steelindo Utama Tbk
INV-2025-1031,2025-11-10,PO-77851-PT,SUP-002,PRD-002,3000,12.00,36000.00,USD,CV Bina Karya Metal
INV-2025-1032,2026-06-20,PO-77852-PT,SUP-003,PRD-003,10000,8.00,80000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1033,2026-06-22,PO-77853-PT,SUP-004,PRD-004,10000,35.00,350000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1034,2025-09-01,PO-77854-PT,SUP-005,PRD-005,2000,22.00,44000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1035,2025-12-20,PO-77855-PT,SUP-006,PRD-006,1500,15.00,22500.00,USD,CV Mitra Teknik Bersama
INV-2025-1036,2025-12-31,PO-77856-PT,SUP-007,PRD-007,10000,2.50,25000.00,USD,PT Surya Cipta Metalindo
INV-2025-1037,2026-07-29,PO-77857-PT,SUP-008,PRD-008,10000,7.50,75000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1038,2025-10-07,PO-77858-PT,SUP-009,PRD-009,500,45.00,22500.00,USD,PT Waskita Beton Precast
INV-2025-1039,2026-06-24,PO-77859-PT,SUP-010,PRD-010,2000,28.00,56000.00,USD,CV Delta Prima Energi
INV-2025-1040,2026-08-04,PO-77860-PT,SUP-001,PRD-011,475,3.00,1425.00,USD,PT Steelindo Utama Tbk
INV-2025-1041,2026-01-12,PO-77861-PT,SUP-002,PRD-012,500,6.00,3000.00,USD,CV Bina Karya Metal
INV-2025-1042,2026-05-15,PO-77862-PT,SUP-003,PRD-013,5000,4.00,20000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1043,2025-09-22,PO-77863-PT,SUP-004,PRD-014,2000,0.15,300.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1044,2025-10-03,PO-77864-PT,SUP-005,PRD-015,10000,18.00,180000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1045,2025-10-05,PO-77865-PT,SUP-006,PRD-001,1500,5.50,8250.00,USD,CV Mitra Teknik Bersama
INV-2025-1046,2026-04-18,PO-77866-PT,SUP-007,PRD-002,2500,12.00,30000.00,USD,PT Surya Cipta Metalindo
INV-2025-1047,2026-04-23,PO-77867-PT,SUP-008,PRD-003,2500,8.00,20000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1048,2026-03-06,PO-77868-PT,SUP-009,PRD-004,10000,35.00,350000.00,USD,PT Waskita Beton Precast
INV-2025-1049,2026-04-04,PO-77869-PT,SUP-010,PRD-005,2000,22.00,44000.00,USD,CV Delta Prima Energi
INV-2025-1050,2026-03-27,PO-77870-PT,SUP-001,PRD-006,1500,15.00,22500.00,USD,PT Steelindo Utama Tbk
INV-2025-1051,2026-02-18,PO-77871-PT,SUP-002,PRD-007,2000,2.50,5000.00,USD,CV Bina Karya Metal
INV-2025-1052,2026-06-08,PO-77872-PT,SUP-003,PRD-008,1500,7.50,11250.00,USD,PT Indo Primatama Sejahtera
