resi_number,shipment_date,po_number,supplier_id,product_id,received_qty,warehouse_dock_id,receiving_note,damage_flag,wms_supplier_name_raw
RESI-IND-88219,2025-09-28,PO-77820-PT,SUP-001,PRD-001,1425,DOCK-SBY-B,short shipment — 5% variance,false,PT Steelindo
RESI-IND-88220,2025-08-16,PO-77821-PT,SUP-002,PRD-002,2500,DOCK-KRW-A,"received early, no issues",false,Bina Karya
RESI-IND-88221,2026-07-01,PO-77822-PT,SUP-003,PRD-003,500,DOCK-KRW-B,partial pallet received,false,PT Indoprimatama
RESI-IND-88222,2026-07-02,PO-77823-PT,SUP-004,PRD-004,2000,DOCK-SBY-B,,false,PT Gajah Tunggal
RESI-IND-88223,2025-08-23,PO-77824-PT,SUP-005,PRD-005,1500,DOCK-SBY-A,wet packaging due to rain,false,PT Astra Otoparts
RESI-IND-88224,2025-12-02,PO-77825-PT,SUP-006,PRD-006,2500,DOCK-KRW-B,damaged pallet on arrival,false,Mitra Teknik
RESI-IND-88225,2026-02-09,PO-77826-PT,SUP-007,PRD-007,3000,DOCK-BKS-A,partial pallet received,false,PT Surya Cipta
RESI-IND-88226,2026-05-31,PO-77827-PT,SUP-008,PRD-008,3000,DOCK-SBY-B,partial pallet received,false,Cakra Sentosa
RESI-IND-88227,2026-07-05,PO-77828-PT,SUP-009,PRD-009,500,DOCK-BKS-A,wet packaging due to rain,false,Waskita Beton
RESI-IND-88228,2025-12-25,PO-77829-PT,SUP-010,PRD-010,500,DOCK-KRW-A,partial pallet received,false,Delta Prima
RESI-IND-88229,2026-03-19,PO-77830-PT,SUP-001,PRD-011,2000,DOCK-KRW-A,damaged pallet on arrival,false,PT Steelindo
RESI-IND-88230,2026-07-21,PO-77831-PT,SUP-002,PRD-012,1500,DOCK-KRW-A,"received early, no issues",false,Bina Karya
RESI-IND-88231,2026-02-23,PO-77832-PT,SUP-003,PRD-013,1500,DOCK-SBY-A,damaged pallet on arrival,false,PT Indoprimatama
RESI-IND-88232,2025-09-19,PO-77833-PT,SUP-004,PRD-014,3000,DOCK-BKS-A,damaged pallet on arrival,false,PT Gajah Tunggal
RESI-IND-88233,2025-08-29,PO-77834-PT,SUP-005,PRD-015,1500,DOCK-SBY-B,damaged pallet on arrival,false,PT Astra Otoparts
RESI-IND-88234,2025-09-08,PO-77835-PT,SUP-006,PRD-001,2500,DOCK-BKS-A,damaged pallet on arrival,false,Mitra Teknik
RESI-IND-88235,2025-12-01,PO-77836-PT,SUP-007,PRD-002,1500,DOCK-BKS-A,damaged pallet on arrival,false,PT Surya Cipta
RESI-IND-88236,2025-12-23,PO-77837-PT,SUP-008,PRD-003,1000,DOCK-BKS-A,damaged pallet on arrival,false,Cakra Sentosa
RESI-IND-88237,2025-11-01,PO-77838-PT,SUP-009,PRD-004,500,DOCK-SBY-A,partial pallet received,false,Waskita Beton
