po_number,po_date,supplier_id,product_id,po_qty,unit_price,po_amount,plant_id,po_status
PO-77820-PT,2026-06-24,SUP-002,PRD-001,2500,5.50,13750.00,PLT-SBY-01,Closed
PO-77821-PT,2025-10-11,SUP-002,PRD-011,1000,3.00,3000.00,PLT-BKS-03,Closed
PO-77822-PT,2025-08-17,SUP-001,PRD-002,2000,12.00,24000.00,PLT-SBY-01,Open
PO-77823-PT,2026-05-15,SUP-004,PRD-012,5000,6.00,30000.00,PLT-SBY-01,Closed
PO-77824-PT,2026-05-29,SUP-005,PRD-013,500,4.00,2000.00,PLT-SBY-01,Closed
PO-77825-PT,2026-01-22,SUP-005,PRD-003,2000,8.00,16000.00,PLT-KRW-02,Closed
PO-77826-PT,2025-09-17,SUP-007,PRD-002,3000,12.00,36000.00,PLT-KRW-02,Open
PO-77827-PT,2025-08-23,SUP-008,PRD-009,1000,45.00,45000.00,PLT-KRW-02,Closed
PO-77828-PT,2026-05-10,SUP-005,PRD-014,3000,0.15,450.00,PLT-BKS-03,Closed
PO-77829-PT,2026-07-27,SUP-002,PRD-001,2000,5.50,11000.00,PLT-KRW-02,Closed
PO-77830-PT,2025-11-28,SUP-002,PRD-007,2500,2.50,6250.00,PLT-KRW-02,Closed
PO-77831-PT,2025-10-23,SUP-006,PRD-006,2000,15.00,30000.00,PLT-BKS-03,Open
PO-77832-PT,2026-07-26,SUP-002,PRD-010,1500,28.00,42000.00,PLT-BKS-03,Closed
PO-77833-PT,2025-10-23,SUP-008,PRD-007,2500,2.50,6250.00,PLT-BKS-03,Closed
PO-77834-PT,2026-07-17,SUP-006,PRD-014,500,0.15,75.00,PLT-SBY-01,Open
PO-77835-PT,2026-01-09,SUP-007,PRD-005,1000,22.00,22000.00,PLT-SBY-01,Closed
PO-77836-PT,2025-11-17,SUP-008,PRD-007,10000,2.50,25000.00,PLT-SBY-01,Open
PO-77837-PT,2025-10-11,SUP-004,PRD-012,2500,6.00,15000.00,PLT-BKS-03,Closed
PO-77838-PT,2026-05-26,SUP-007,PRD-006,2000,15.00,30000.00,PLT-SBY-01,Closed
PO-77839-PT,2025-09-16,SUP-001,PRD-014,1000,0.15,150.00,PLT-SBY-01,Closed
PO-77840-PT,2026-07-15,SUP-007,PRD-010,1000,28.00,28000.00,PLT-KRW-02,Closed
PO-77841-PT,2026-06-02,SUP-008,PRD-009,2500,45.00,112500.00,PLT-BKS-03,Open
PO-77842-PT,2026-07-15,SUP-002,PRD-011,2500,3.00,7500.00,PLT-BKS-03,Closed
PO-77843-PT,2025-09-27,SUP-005,PRD-007,1500,2.50,3750.00,PLT-KRW-02,Open
PO-77844-PT,2025-12-13,SUP-009,PRD-013,1500,4.00,6000.00,PLT-BKS-03,Closed
PO-77845-PT,2026-06-17,SUP-005,PRD-014,2000,0.15,300.00,PLT-SBY-01,Closed
PO-77846-PT,2025-10-22,SUP-009,PRD-013,500,4.00,2000.00,PLT-BKS-03,Closed
PO-77847-PT,2026-04-08,SUP-001,PRD-002,3000,12.00,36000.00,PLT-KRW-02,Closed
PO-77848-PT,2025-08-30,SUP-004,PRD-015,1000,18.00,18000.00,PLT-SBY-01,Closed
PO-77849-PT,2025-09-05,SUP-009,PRD-013,1500,4.00,6000.00,PLT-SBY-01,Closed
PO-77850-PT,2026-05-09,SUP-003,PRD-005,5000,22.00,110000.00,PLT-SBY-01,Closed
PO-77851-PT,2026-08-01,SUP-005,PRD-007,3000,2.50,7500.00,PLT-KRW-02,Closed
PO-77852-PT,2025-10-01,SUP-004,PRD-004,1000,35.00,35000.00,PLT-KRW-02,Open
