bom_id,machine_id,part_id,qty_required_per_machine,replacement_freq_days
BOM-001,MCH-COILING-01,PRT-BRG-6205-2RS,4,90
BOM-002,MCH-COILING-01,PRT-SEAL-HT-50,2,60
BOM-003,MCH-COILING-01,PRT-ELEC-COIL-50KW,1,180
BOM-004,MCH-HEATTREAT-01,PRT-TC-KTYPE-1200C,6,45
BOM-005,MCH-HEATTREAT-01,PRT-BELT-CONV-HT,1,240
BOM-006,MCH-SHOTPEEN-01,PRT-NOZZLE-CARB-08,8,30
BOM-007,MCH-SHOTPEEN-01,PRT-BRG-6205-2RS,2,120
BOM-008,MCH-STABILIZER-01,PRT-HYD-VALVE-PROP,2,150
BOM-009,MCH-STABILIZER-01,PRT-SENS-IND-24V,4,90
BOM-010,MCH-PRESS-01,PRT-SEAL-HT-50,4,90
