anomaly_id,machine_id,detected_at,severity_level,anomaly_score,suspected_failing_component,recommended_action
ANM-8001,MCH-HEATTREAT-01,2026-07-02 12:53:10,CRITICAL,0.89,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8002,MCH-HEATTREAT-01,2026-07-04 03:29:58,WARNING,0.83,Bearing overheating,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8003,MCH-COILING-01,2026-07-05 20:22:01,WARNING,0.9,Shot peening,Immediate inspection & pre-position replacement parts for MCH-COILING-01
ANM-8004,MCH-COILING-01,2026-07-06 12:03:41,WARNING,0.79,Shot peening,Immediate inspection & pre-position replacement parts for MCH-COILING-01
ANM-8005,MCH-HEATTREAT-01,2026-07-06 04:53:31,WARNING,0.94,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8006,MCH-SHOTPEEN-01,2026-07-06 03:20:18,CRITICAL,0.85,Shot peening,Immediate inspection & pre-position replacement parts for MCH-SHOTPEEN-01
ANM-8007,MCH-SHOTPEEN-01,2026-07-06 11:45:04,WARNING,0.86,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-SHOTPEEN-01
ANM-8008,MCH-SHOTPEEN-01,2026-07-06 18:45:46,CRITICAL,0.82,Shot peening,Immediate inspection & pre-position replacement parts for MCH-SHOTPEEN-01
ANM-8009,MCH-HEATTREAT-01,2026-07-09 04:12:22,CRITICAL,0.92,Shot peening,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8010,MCH-SHOTPEEN-01,2026-07-09 05:12:49,CRITICAL,0.93,Bearing overheating,Immediate inspection & pre-position replacement parts for MCH-SHOTPEEN-01
ANM-8011,MCH-STABILIZER-01,2026-07-09 04:32:00,WARNING,0.94,Shot peening,Immediate inspection & pre-position replacement parts for MCH-STABILIZER-01
ANM-8012,MCH-HEATTREAT-01,2026-07-10 04:24:56,CRITICAL,0.81,Hydraulic oil,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8013,MCH-COILING-01,2026-07-11 19:00:37,CRITICAL,0.78,Induction heating,Immediate inspection & pre-position replacement parts for MCH-COILING-01
ANM-8014,MCH-HEATTREAT-01,2026-07-11 05:04:11,CRITICAL,0.98,Shot peening,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8015,MCH-STABILIZER-01,2026-07-12 19:21:53,CRITICAL,0.83,Hydraulic oil,Immediate inspection & pre-position replacement parts for MCH-STABILIZER-01
ANM-8016,MCH-TESTING-01,2026-07-12 04:05:38,WARNING,0.97,Hydraulic oil,Immediate inspection & pre-position replacement parts for MCH-TESTING-01
ANM-8017,MCH-COILING-02,2026-07-13 03:19:36,CRITICAL,0.96,Hydraulic oil,Immediate inspection & pre-position replacement parts for MCH-COILING-02
ANM-8018,MCH-HEATTREAT-01,2026-07-14 04:29:21,CRITICAL,0.93,Bearing overheating,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8019,MCH-HEATTREAT-01,2026-07-14 12:14:56,CRITICAL,0.8,Shot peening,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8020,MCH-TEMPERING-01,2026-07-14 04:07:54,CRITICAL,0.97,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-TEMPERING-01
ANM-8021,MCH-SHOTPEEN-01,2026-07-17 02:58:11,CRITICAL,0.95,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-SHOTPEEN-01
ANM-8022,MCH-PRESS-01,2026-07-17 04:15:05,CRITICAL,0.89,Induction heating,Immediate inspection & pre-position replacement parts for MCH-PRESS-01
ANM-8023,MCH-HEATTREAT-01,2026-07-18 02:29:56,CRITICAL,0.8,Hydraulic oil,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8024,MCH-HEATTREAT-01,2026-07-20 03:51:52,WARNING,0.83,Hydraulic oil,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8025,MCH-SHOTPEEN-01,2026-07-21 04:35:24,WARNING,0.8,Shot peening,Immediate inspection & pre-position replacement parts for MCH-SHOTPEEN-01
ANM-8026,MCH-HEATTREAT-01,2026-07-23 02:57:01,WARNING,0.95,Induction heating,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8027,MCH-HEATTREAT-01,2026-07-24 10:43:07,CRITICAL,0.89,Induction heating,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8028,MCH-STABILIZER-01,2026-07-24 13:16:54,CRITICAL,0.95,Hydraulic oil,Immediate inspection & pre-position replacement parts for MCH-STABILIZER-01
ANM-8029,MCH-COILING-02,2026-07-26 04:54:56,CRITICAL,0.88,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-COILING-02
ANM-8030,MCH-STABILIZER-01,2026-07-26 18:38:01,WARNING,0.88,Induction heating,Immediate inspection & pre-position replacement parts for MCH-STABILIZER-01
ANM-8031,MCH-HEATTREAT-01,2026-07-27 19:10:34,CRITICAL,0.86,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-HEATTREAT-01
ANM-8032,MCH-COILING-01,2026-07-29 04:54:54,WARNING,0.95,Induction heating,Immediate inspection & pre-position replacement parts for MCH-COILING-01
ANM-8033,MCH-TEMPERING-01,2026-07-29 03:55:28,WARNING,0.79,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-TEMPERING-01
ANM-8034,MCH-TESTING-01,2026-07-29 04:51:37,CRITICAL,0.97,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-TESTING-01
ANM-8035,MCH-SHOTPEEN-01,2026-07-30 13:01:54,CRITICAL,0.93,Proximity sensor,Immediate inspection & pre-position replacement parts for MCH-SHOTPEEN-01
ANM-8036,MCH-STABILIZER-01,2026-07-30 19:10:16,WARNING,0.92,Shot peening,Immediate inspection & pre-position replacement parts for MCH-STABILIZER-01
