downtime_id,machine_id,shift_number,start_time,end_time,duration_minutes,downtime_category,reason_description,is_unplanned
DT-1001,MCH-TEMPERING-01,1,2026-07-01 02:30:06,2026-07-01 03:12:12,42.1,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1002,MCH-SHOTPEEN-01,3,2026-07-01 17:08:18,2026-07-01 17:40:24,32.1,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1003,MCH-PRESS-01,3,2026-07-01 17:40:34,2026-07-01 18:06:10,25.6,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1004,MCH-STABILIZER-01,3,2026-07-01 17:50:49,2026-07-01 18:21:37,30.8,Changeover,Tooling setup and die adjustment for SKU-SB-CANTER-01,False
DT-1005,MCH-TESTING-01,3,2026-07-01 18:04:52,2026-07-01 18:41:10,36.3,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1006,MCH-COILING-01,2,2026-07-02 09:45:08,2026-07-02 10:18:26,33.3,Changeover,Tooling setup and die adjustment for SKU-CS-HONDA-02,False
DT-1007,MCH-COILING-02,3,2026-07-02 18:53:26,2026-07-02 19:18:32,25.1,Changeover,Tooling setup and die adjustment for SKU-CS-HONDA-02,False
DT-1008,MCH-HEATTREAT-01,2,2026-07-02 09:05:04,2026-07-02 09:46:34,41.5,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1009,MCH-HEATTREAT-01,2,2026-07-02 13:35:10,2026-07-02 15:46:52,131.7,Unplanned Breakdown,Proximity sensor misalignment on material feeder,True
DT-1010,MCH-PRESS-01,1,2026-07-03 01:49:55,2026-07-03 02:12:31,22.6,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1011,MCH-COILING-02,3,2026-07-04 18:35:03,2026-07-04 19:12:51,37.8,Changeover,Tooling setup and die adjustment for SKU-CS-HONDA-02,False
DT-1012,MCH-HEATTREAT-01,1,2026-07-04 02:40:20,2026-07-04 03:03:02,22.7,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1013,MCH-HEATTREAT-01,1,2026-07-04 04:19:58,2026-07-04 05:07:10,47.2,Unplanned Breakdown,Bearing overheating & shaft vibration threshold breach,True
DT-1014,MCH-TEMPERING-01,3,2026-07-04 18:01:24,2026-07-04 18:23:42,22.3,Changeover,Tooling setup and die adjustment for SKU-LS-ISUZU-02,False
DT-1015,MCH-PRESS-01,3,2026-07-04 17:57:55,2026-07-04 18:40:43,42.8,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1016,MCH-STABILIZER-01,2,2026-07-04 09:37:42,2026-07-04 10:04:12,26.5,Changeover,Tooling setup and die adjustment for SKU-SB-CANTER-01,False
DT-1017,MCH-TESTING-01,2,2026-07-04 09:18:49,2026-07-04 09:54:55,36.1,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1018,MCH-COILING-01,3,2026-07-05 21:21:01,2026-07-05 22:00:25,39.4,Unplanned Breakdown,Shot peening nozzle clog & pressure failure,True
DT-1019,MCH-TEMPERING-01,2,2026-07-05 09:08:00,2026-07-05 09:41:06,33.1,Changeover,Tooling setup and die adjustment for SKU-LS-ISUZU-02,False
DT-1020,MCH-TEMPERING-01,3,2026-07-05 17:03:49,2026-07-05 17:28:37,24.8,Changeover,Tooling setup and die adjustment for SKU-LS-ISUZU-02,False
DT-1021,MCH-TESTING-01,2,2026-07-05 10:22:45,2026-07-05 11:03:15,40.5,Changeover,Tooling setup and die adjustment for SKU-LS-ISUZU-02,False
DT-1022,MCH-COILING-01,2,2026-07-06 10:50:58,2026-07-06 11:25:28,34.5,Changeover,Tooling setup and die adjustment for SKU-CS-TOYOTA-01,False
DT-1023,MCH-COILING-01,2,2026-07-06 12:57:41,2026-07-06 13:47:35,49.9,Unplanned Breakdown,Shot peening nozzle clog & pressure failure,True
DT-1024,MCH-HEATTREAT-01,1,2026-07-06 05:32:31,2026-07-06 06:18:01,45.5,Unplanned Breakdown,Proximity sensor misalignment on material feeder,True
DT-1025,MCH-SHOTPEEN-01,1,2026-07-06 03:51:18,2026-07-06 05:34:00,102.7,Unplanned Breakdown,Shot peening nozzle clog & pressure failure,True
DT-1026,MCH-SHOTPEEN-01,2,2026-07-06 12:20:04,2026-07-06 13:19:46,59.7,Unplanned Breakdown,Proximity sensor misalignment on material feeder,True
DT-1027,MCH-SHOTPEEN-01,3,2026-07-06 19:09:46,2026-07-06 20:46:10,96.4,Unplanned Breakdown,Shot peening nozzle clog & pressure failure,True
DT-1028,MCH-PRESS-01,1,2026-07-06 01:33:40,2026-07-06 02:07:52,34.2,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1029,MCH-STABILIZER-01,3,2026-07-06 17:57:30,2026-07-06 18:30:48,33.3,Changeover,Tooling setup and die adjustment for SKU-SB-AVANZA-02,False
DT-1030,MCH-COILING-02,3,2026-07-07 17:13:40,2026-07-07 17:46:16,32.6,Changeover,Tooling setup and die adjustment for SKU-CS-TOYOTA-01,False
DT-1031,MCH-TEMPERING-01,3,2026-07-07 18:37:54,2026-07-07 19:02:42,24.8,Changeover,Tooling setup and die adjustment for SKU-LS-ISUZU-02,False
DT-1032,MCH-STABILIZER-01,1,2026-07-07 02:17:32,2026-07-07 02:53:08,35.6,Changeover,Tooling setup and die adjustment for SKU-SB-AVANZA-02,False
DT-1033,MCH-STABILIZER-01,3,2026-07-07 18:25:21,2026-07-07 18:52:39,27.3,Changeover,Tooling setup and die adjustment for SKU-SB-AVANZA-02,False
DT-1034,MCH-TESTING-01,3,2026-07-07 18:45:42,2026-07-07 19:06:12,20.5,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1035,MCH-COILING-01,1,2026-07-08 01:42:47,2026-07-08 02:08:05,25.3,Changeover,Tooling setup and die adjustment for SKU-CS-HONDA-02,False
DT-1036,MCH-COILING-02,1,2026-07-08 02:15:42,2026-07-08 02:43:48,28.1,Changeover,Tooling setup and die adjustment for SKU-CS-TOYOTA-01,False
DT-1037,MCH-COILING-02,3,2026-07-08 18:49:27,2026-07-08 19:09:51,20.4,Changeover,Tooling setup and die adjustment for SKU-CS-TOYOTA-01,False
DT-1038,MCH-HEATTREAT-01,2,2026-07-08 09:24:14,2026-07-08 09:56:44,32.5,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1039,MCH-PRESS-01,2,2026-07-08 10:42:29,2026-07-08 11:11:59,29.5,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1040,MCH-STABILIZER-01,1,2026-07-08 01:18:34,2026-07-08 01:50:16,31.7,Changeover,Tooling setup and die adjustment for SKU-SB-AVANZA-02,False
DT-1041,MCH-STABILIZER-01,3,2026-07-08 18:59:05,2026-07-08 19:41:11,42.1,Changeover,Tooling setup and die adjustment for SKU-SB-AVANZA-02,False
DT-1042,MCH-HEATTREAT-01,1,2026-07-09 02:00:23,2026-07-09 02:39:11,38.8,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1043,MCH-HEATTREAT-01,1,2026-07-09 05:02:22,2026-07-09 07:04:46,122.4,Unplanned Breakdown,Shot peening nozzle clog & pressure failure,True
DT-1044,MCH-TEMPERING-01,2,2026-07-09 10:04:59,2026-07-09 10:32:05,27.1,Changeover,Tooling setup and die adjustment for SKU-LS-HINO-01,False
DT-1045,MCH-SHOTPEEN-01,1,2026-07-09 05:49:49,2026-07-09 06:57:49,68.0,Unplanned Breakdown,Bearing overheating & shaft vibration threshold breach,True
