telemetry_id,machine_id,timestamp,vibration_mm_s,temperature_celsius,current_ampere,pressure_bar,operating_rpm,machine_state
TEL-10001,MCH-COILING-01,2026-07-01 00:00:00,1.56,51.9,35.9,157.3,1436.8,RUNNING
TEL-10002,MCH-COILING-02,2026-07-01 00:00:00,1.68,51.8,38.2,156.7,1447.7,RUNNING
TEL-10003,MCH-HEATTREAT-01,2026-07-01 00:00:00,1.4,853.6,37.1,156.3,0.0,RUNNING
TEL-10004,MCH-TEMPERING-01,2026-07-01 00:00:00,1.57,53.1,37.1,158.9,0.0,RUNNING
TEL-10005,MCH-SHOTPEEN-01,2026-07-01 00:00:00,1.6,53.9,38.7,154.5,0.0,RUNNING
TEL-10006,MCH-STABILIZER-01,2026-07-01 00:00:00,1.15,50.1,37.1,158.8,0.0,RUNNING
TEL-10007,MCH-TESTING-01,2026-07-01 00:00:00,1.53,57.2,37.2,156.6,0.0,RUNNING
TEL-10008,MCH-COILING-01,2026-07-01 01:00:00,1.67,52.5,36.8,160.5,1441.1,RUNNING
TEL-10009,MCH-COILING-02,2026-07-01 01:00:00,1.38,52.6,37.8,155.8,1444.5,RUNNING
TEL-10010,MCH-HEATTREAT-01,2026-07-01 01:00:00,1.03,853.0,37.9,161.3,0.0,RUNNING
TEL-10011,MCH-TEMPERING-01,2026-07-01 01:00:00,1.27,51.1,38.3,159.7,0.0,RUNNING
TEL-10012,MCH-SHOTPEEN-01,2026-07-01 01:00:00,1.51,51.7,38.6,157.8,0.0,RUNNING
TEL-10013,MCH-STABILIZER-01,2026-07-01 01:00:00,1.52,53.1,35.3,159.6,0.0,RUNNING
TEL-10014,MCH-TESTING-01,2026-07-01 01:00:00,1.74,57.6,36.9,153.7,0.0,RUNNING
TEL-10015,MCH-COILING-01,2026-07-01 02:00:00,1.72,50.5,37.0,159.2,1441.1,RUNNING
TEL-10016,MCH-COILING-02,2026-07-01 02:00:00,1.39,53.2,38.5,159.0,1437.8,RUNNING
TEL-10017,MCH-HEATTREAT-01,2026-07-01 02:00:00,1.11,850.0,37.2,159.1,0.0,RUNNING
TEL-10018,MCH-TEMPERING-01,2026-07-01 02:00:00,1.48,52.9,36.8,154.5,0.0,RUNNING
TEL-10019,MCH-SHOTPEEN-01,2026-07-01 02:00:00,1.72,56.5,37.7,158.6,0.0,RUNNING
TEL-10020,MCH-STABILIZER-01,2026-07-01 02:00:00,1.18,49.7,36.2,160.1,0.0,RUNNING
TEL-10021,MCH-TESTING-01,2026-07-01 02:00:00,1.82,57.3,37.1,154.5,0.0,RUNNING
TEL-10022,MCH-COILING-01,2026-07-01 03:00:00,1.81,54.5,36.5,158.6,1439.6,RUNNING
TEL-10023,MCH-COILING-02,2026-07-01 03:00:00,1.63,56.4,38.3,159.3,1435.7,RUNNING
TEL-10024,MCH-HEATTREAT-01,2026-07-01 03:00:00,1.13,856.1,37.3,160.5,0.0,RUNNING
TEL-10025,MCH-TEMPERING-01,2026-07-01 03:00:00,1.29,54.4,35.8,159.7,0.0,RUNNING
TEL-10026,MCH-SHOTPEEN-01,2026-07-01 03:00:00,1.46,56.0,37.5,155.4,0.0,RUNNING
TEL-10027,MCH-STABILIZER-01,2026-07-01 03:00:00,1.21,49.1,35.9,156.7,0.0,RUNNING
TEL-10028,MCH-TESTING-01,2026-07-01 03:00:00,1.86,53.3,38.4,155.4,0.0,RUNNING
TEL-10029,MCH-COILING-01,2026-07-01 04:00:00,1.71,54.8,35.6,160.7,1440.4,RUNNING
TEL-10030,MCH-COILING-02,2026-07-01 04:00:00,1.39,50.8,37.1,158.3,1444.4,RUNNING
TEL-10031,MCH-HEATTREAT-01,2026-07-01 04:00:00,1.2,852.5,36.6,156.9,0.0,RUNNING
TEL-10032,MCH-TEMPERING-01,2026-07-01 04:00:00,1.18,55.3,37.1,158.8,0.0,RUNNING
TEL-10033,MCH-SHOTPEEN-01,2026-07-01 04:00:00,1.63,53.0,36.3,157.5,0.0,RUNNING
TEL-10034,MCH-STABILIZER-01,2026-07-01 04:00:00,1.25,54.4,37.5,156.5,0.0,RUNNING
TEL-10035,MCH-TESTING-01,2026-07-01 04:00:00,1.64,54.1,37.3,153.8,0.0,RUNNING
TEL-10036,MCH-COILING-01,2026-07-01 05:00:00,1.87,53.1,37.9,158.5,1444.0,RUNNING
TEL-10037,MCH-COILING-02,2026-07-01 05:00:00,1.28,51.9,37.1,157.4,1454.6,RUNNING
TEL-10038,MCH-HEATTREAT-01,2026-07-01 05:00:00,1.18,851.4,36.3,160.7,0.0,RUNNING
TEL-10039,MCH-TEMPERING-01,2026-07-01 05:00:00,1.25,49.9,37.0,158.2,0.0,RUNNING
TEL-10040,MCH-SHOTPEEN-01,2026-07-01 05:00:00,1.69,55.5,38.1,154.9,0.0,RUNNING
TEL-10041,MCH-STABILIZER-01,2026-07-01 05:00:00,1.13,50.5,36.7,159.8,0.0,RUNNING
TEL-10042,MCH-TESTING-01,2026-07-01 05:00:00,1.64,55.6,37.0,157.2,0.0,RUNNING
TEL-10043,MCH-COILING-01,2026-07-01 06:00:00,1.6,53.0,35.3,159.4,1458.1,RUNNING
TEL-10044,MCH-COILING-02,2026-07-01 06:00:00,1.45,51.2,38.7,157.1,1436.5,RUNNING
TEL-10045,MCH-HEATTREAT-01,2026-07-01 06:00:00,1.34,853.0,37.3,159.3,0.0,RUNNING
TEL-10046,MCH-TEMPERING-01,2026-07-01 06:00:00,1.42,55.5,38.2,158.1,0.0,RUNNING
TEL-10047,MCH-SHOTPEEN-01,2026-07-01 06:00:00,1.57,56.1,37.7,158.9,0.0,RUNNING
TEL-10048,MCH-STABILIZER-01,2026-07-01 06:00:00,1.31,50.6,36.1,158.6,0.0,RUNNING
TEL-10049,MCH-TESTING-01,2026-07-01 06:00:00,1.69,55.5,37.3,153.5,0.0,RUNNING
TEL-10050,MCH-COILING-01,2026-07-01 07:00:00,1.61,50.8,36.9,155.7,1441.9,RUNNING
TEL-10051,MCH-COILING-02,2026-07-01 07:00:00,1.57,50.5,37.0,157.2,1447.5,RUNNING
TEL-10052,MCH-HEATTREAT-01,2026-07-01 07:00:00,1.17,855.9,36.7,159.5,0.0,RUNNING
TEL-10053,MCH-TEMPERING-01,2026-07-01 07:00:00,1.49,51.8,35.5,156.6,0.0,RUNNING
TEL-10054,MCH-SHOTPEEN-01,2026-07-01 07:00:00,1.71,56.9,37.3,158.0,0.0,RUNNING
TEL-10055,MCH-STABILIZER-01,2026-07-01 07:00:00,1.36,50.3,36.0,157.3,0.0,IDLE
TEL-10056,MCH-TESTING-01,2026-07-01 07:00:00,1.61,55.9,37.7,154.0,0.0,RUNNING
TEL-10057,MCH-COILING-01,2026-07-01 08:00:00,1.55,52.8,35.3,157.2,1451.9,IDLE
TEL-10058,MCH-COILING-02,2026-07-01 08:00:00,1.54,50.9,37.2,154.3,1446.4,RUNNING
TEL-10059,MCH-HEATTREAT-01,2026-07-01 08:00:00,1.13,855.0,36.1,159.8,0.0,RUNNING
