consumption_id,part_id,machine_id,work_order_id,consumption_date,qty_consumed,total_cost
CNS-9001,PRT-BELT-CONV-HT,MCH-HEATTREAT-01,WO-3001,2026-07-02,1,3100000.0
CNS-9002,PRT-TC-KTYPE-1200C,MCH-HEATTREAT-01,WO-3002,2026-07-04,6,3900000.0
CNS-9003,PRT-BRG-6205-2RS,MCH-COILING-01,WO-3003,2026-07-05,2,900000.0
CNS-9004,PRT-BRG-6205-2RS,MCH-COILING-01,WO-3004,2026-07-06,2,900000.0
CNS-9005,PRT-BELT-CONV-HT,MCH-HEATTREAT-01,WO-3005,2026-07-06,1,3100000.0
CNS-9006,PRT-NOZZLE-CARB-08,MCH-SHOTPEEN-01,WO-3006,2026-07-06,2,2400000.0
CNS-9007,PRT-NOZZLE-CARB-08,MCH-SHOTPEEN-01,WO-3007,2026-07-06,2,2400000.0
CNS-9008,PRT-NOZZLE-CARB-08,MCH-SHOTPEEN-01,WO-3008,2026-07-06,7,8400000.0
CNS-9009,PRT-BELT-CONV-HT,MCH-HEATTREAT-01,WO-3009,2026-07-09,1,3100000.0
CNS-9010,PRT-NOZZLE-CARB-08,MCH-SHOTPEEN-01,WO-3010,2026-07-09,6,7200000.0
CNS-9011,PRT-SENS-IND-24V,MCH-STABILIZER-01,WO-3011,2026-07-09,1,350000.0
CNS-9012,PRT-BELT-CONV-HT,MCH-HEATTREAT-01,WO-3012,2026-07-10,1,3100000.0
CNS-9013,PRT-BRG-6205-2RS,MCH-COILING-01,WO-3013,2026-07-11,4,1800000.0
CNS-9014,PRT-TC-KTYPE-1200C,MCH-HEATTREAT-01,WO-3014,2026-07-11,6,3900000.0
CNS-9015,PRT-SENS-IND-24V,MCH-STABILIZER-01,WO-3015,2026-07-12,1,350000.0
CNS-9016,PRT-BELT-CONV-HT,MCH-HEATTREAT-01,WO-3018,2026-07-14,1,3100000.0
CNS-9017,PRT-TC-KTYPE-1200C,MCH-HEATTREAT-01,WO-3019,2026-07-14,1,650000.0
CNS-9018,PRT-BRG-6205-2RS,MCH-SHOTPEEN-01,WO-3021,2026-07-17,2,900000.0
CNS-9019,PRT-SEAL-HT-50,MCH-PRESS-01,WO-3022,2026-07-17,3,825000.0
CNS-9020,PRT-TC-KTYPE-1200C,MCH-HEATTREAT-01,WO-3023,2026-07-18,5,3250000.0
CNS-9021,PRT-BELT-CONV-HT,MCH-HEATTREAT-01,WO-3024,2026-07-20,1,3100000.0
CNS-9022,PRT-NOZZLE-CARB-08,MCH-SHOTPEEN-01,WO-3025,2026-07-21,6,7200000.0
CNS-9023,PRT-BELT-CONV-HT,MCH-HEATTREAT-01,WO-3026,2026-07-23,1,3100000.0
CNS-9024,PRT-TC-KTYPE-1200C,MCH-HEATTREAT-01,WO-3027,2026-07-24,6,3900000.0
CNS-9025,PRT-HYD-VALVE-PROP,MCH-STABILIZER-01,WO-3028,2026-07-24,2,8400000.0
CNS-9026,PRT-SENS-IND-24V,MCH-STABILIZER-01,WO-3030,2026-07-26,3,1050000.0
CNS-9027,PRT-TC-KTYPE-1200C,MCH-HEATTREAT-01,WO-3031,2026-07-27,2,1300000.0
CNS-9028,PRT-SEAL-HT-50,MCH-COILING-01,WO-3032,2026-07-29,1,275000.0
CNS-9029,PRT-BRG-6205-2RS,MCH-SHOTPEEN-01,WO-3035,2026-07-30,1,450000.0
CNS-9030,PRT-SENS-IND-24V,MCH-STABILIZER-01,WO-3036,2026-07-30,1,350000.0
