output_id,machine_id,sku_id,shift_number,timestamp,actual_qty_produced,actual_avg_cycle_time_seconds,speed_loss_duration_minutes
OUT-5001,MCH-COILING-01,SKU-CS-HONDA-02,1,2026-07-01 08:00:00,943,30.04,7.8
OUT-5002,MCH-COILING-01,SKU-CS-HONDA-02,2,2026-07-01 16:00:00,985,28.58,10.7
OUT-5003,MCH-COILING-01,SKU-CS-HONDA-02,3,2026-07-02 00:00:00,906,31.08,10.3
OUT-5004,MCH-COILING-02,SKU-CS-TOYOTA-01,1,2026-07-01 08:00:00,881,31.87,11.9
OUT-5005,MCH-COILING-02,SKU-CS-TOYOTA-01,2,2026-07-01 16:00:00,945,30.31,2.3
OUT-5006,MCH-COILING-02,SKU-CS-TOYOTA-01,3,2026-07-02 00:00:00,880,31.95,11.3
OUT-5007,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-01 08:00:00,601,47.41,4.6
OUT-5008,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-01 16:00:00,583,48.64,6.9
OUT-5009,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-02 00:00:00,618,45.95,6.3
OUT-5010,MCH-TEMPERING-01,SKU-LS-HINO-01,1,2026-07-01 08:00:00,562,45.65,9.7
OUT-5011,MCH-TEMPERING-01,SKU-LS-HINO-01,2,2026-07-01 16:00:00,567,49.51,11.5
OUT-5012,MCH-TEMPERING-01,SKU-LS-HINO-01,3,2026-07-02 00:00:00,594,47.7,7.1
OUT-5013,MCH-SHOTPEEN-01,SKU-LS-HINO-01,1,2026-07-01 08:00:00,564,49.81,11.2
OUT-5014,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2,2026-07-01 16:00:00,620,45.41,10.3
OUT-5015,MCH-SHOTPEEN-01,SKU-LS-HINO-01,3,2026-07-02 00:00:00,581,44.12,20.3
OUT-5016,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-01 08:00:00,635,44.72,6.2
OUT-5017,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-01 16:00:00,592,48.04,6.0
OUT-5018,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-02 00:00:00,585,44.86,16.8
OUT-5019,MCH-STABILIZER-01,SKU-SB-CANTER-01,1,2026-07-01 08:00:00,478,59.88,2.7
OUT-5020,MCH-STABILIZER-01,SKU-SB-CANTER-01,2,2026-07-01 16:00:00,472,59.93,7.8
OUT-5021,MCH-STABILIZER-01,SKU-SB-CANTER-01,3,2026-07-02 00:00:00,402,64.06,19.6
OUT-5022,MCH-TESTING-01,SKU-LS-HINO-01,1,2026-07-01 08:00:00,626,44.99,10.6
OUT-5023,MCH-TESTING-01,SKU-LS-HINO-01,2,2026-07-01 16:00:00,573,49.5,6.6
OUT-5024,MCH-TESTING-01,SKU-LS-HINO-01,3,2026-07-02 00:00:00,599,43.87,5.3
OUT-5025,MCH-COILING-01,SKU-CS-HONDA-02,1,2026-07-02 08:00:00,958,29.82,3.4
OUT-5026,MCH-COILING-01,SKU-CS-HONDA-02,2,2026-07-02 16:00:00,940,28.28,3.6
OUT-5027,MCH-COILING-01,SKU-CS-HONDA-02,3,2026-07-03 00:00:00,935,30.26,8.1
OUT-5028,MCH-COILING-02,SKU-CS-HONDA-02,1,2026-07-02 08:00:00,942,30.26,4.7
OUT-5029,MCH-COILING-02,SKU-CS-HONDA-02,2,2026-07-02 16:00:00,968,29.24,7.9
OUT-5030,MCH-COILING-02,SKU-CS-HONDA-02,3,2026-07-03 00:00:00,860,30.3,20.3
OUT-5031,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-02 08:00:00,632,44.86,7.3
OUT-5032,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-02 16:00:00,398,44.44,11.7
OUT-5033,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-03 00:00:00,576,49.28,6.8
OUT-5034,MCH-TEMPERING-01,SKU-LS-HINO-01,1,2026-07-02 08:00:00,624,45.6,5.4
OUT-5035,MCH-TEMPERING-01,SKU-LS-HINO-01,2,2026-07-02 16:00:00,585,48.79,3.9
OUT-5036,MCH-TEMPERING-01,SKU-LS-HINO-01,3,2026-07-03 00:00:00,634,44.62,7.9
OUT-5037,MCH-SHOTPEEN-01,SKU-LS-HINO-01,1,2026-07-02 08:00:00,598,47.37,7.6
OUT-5038,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2,2026-07-02 16:00:00,614,46.37,5.2
OUT-5039,MCH-SHOTPEEN-01,SKU-LS-HINO-01,3,2026-07-03 00:00:00,610,46.52,6.5
OUT-5040,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-02 08:00:00,602,47.48,2.9
OUT-5041,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-02 16:00:00,588,47.89,10.1
OUT-5042,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-03 00:00:00,570,49.04,14.0
OUT-5043,MCH-STABILIZER-01,SKU-SB-CANTER-01,1,2026-07-02 08:00:00,447,63.45,7.2
OUT-5044,MCH-STABILIZER-01,SKU-SB-CANTER-01,2,2026-07-02 16:00:00,434,65.18,8.0
OUT-5045,MCH-STABILIZER-01,SKU-SB-CANTER-01,3,2026-07-03 00:00:00,428,65.78,10.0
OUT-5046,MCH-TESTING-01,SKU-LS-ISUZU-02,1,2026-07-02 08:00:00,506,55.53,11.2
OUT-5047,MCH-TESTING-01,SKU-LS-ISUZU-02,2,2026-07-02 16:00:00,506,55.52,11.4
