schedule_id,schedule_date,shift_number,line_id,machine_id,sku_id,planned_start_time,planned_end_time,planned_qty
SCH-20260701-MCH-COILING-01-S1,2026-07-01,1,LINE-COIL-01,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-01 00:00:00,2026-07-01 08:00:00,900
SCH-20260701-MCH-COILING-01-S2,2026-07-01,2,LINE-COIL-01,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-01 08:00:00,2026-07-01 16:00:00,900
SCH-20260701-MCH-COILING-01-S3,2026-07-01,3,LINE-COIL-01,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-01 16:00:00,2026-07-02 00:00:00,900
SCH-20260701-MCH-COILING-02-S1,2026-07-01,1,LINE-COIL-01,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-01 00:00:00,2026-07-01 08:00:00,840
SCH-20260701-MCH-COILING-02-S2,2026-07-01,2,LINE-COIL-01,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-01 08:00:00,2026-07-01 16:00:00,840
SCH-20260701-MCH-COILING-02-S3,2026-07-01,3,LINE-COIL-01,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-01 16:00:00,2026-07-02 00:00:00,840
SCH-20260701-MCH-HEATTREAT-01-S1,2026-07-01,1,LINE-SPRING-01,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-01 00:00:00,2026-07-01 08:00:00,560
SCH-20260701-MCH-HEATTREAT-01-S2,2026-07-01,2,LINE-SPRING-01,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-01 08:00:00,2026-07-01 16:00:00,560
SCH-20260701-MCH-HEATTREAT-01-S3,2026-07-01,3,LINE-SPRING-01,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-01 16:00:00,2026-07-02 00:00:00,560
SCH-20260701-MCH-TEMPERING-01-S1,2026-07-01,1,LINE-SPRING-01,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-01 00:00:00,2026-07-01 08:00:00,560
SCH-20260701-MCH-TEMPERING-01-S2,2026-07-01,2,LINE-SPRING-01,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-01 08:00:00,2026-07-01 16:00:00,560
SCH-20260701-MCH-TEMPERING-01-S3,2026-07-01,3,LINE-SPRING-01,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-01 16:00:00,2026-07-02 00:00:00,560
SCH-20260701-MCH-SHOTPEEN-01-S1,2026-07-01,1,LINE-SPRING-01,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-01 00:00:00,2026-07-01 08:00:00,560
