inspection_id,machine_id,sku_id,inspection_time,total_inspected_qty,good_qty,reject_qty,rework_qty,defect_reason_category
QC-7001,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-01 08:00:00,943,931,12,3,Surface Micro-Crack Defect
QC-7002,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-01 16:00:00,985,963,22,9,Free Height Dimension Out-of-Spec
QC-7003,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-02 00:00:00,906,882,24,9,Free Height Dimension Out-of-Spec
QC-7004,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-01 08:00:00,881,860,21,8,Quenching Hardness Non-Conforming
QC-7005,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-01 16:00:00,945,928,17,4,Shot Peening Surface Roughness Fail
QC-7006,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-02 00:00:00,880,862,18,8,Bending Angle Angular Deviation
QC-7007,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-01 08:00:00,601,582,19,6,Free Height Dimension Out-of-Spec
QC-7008,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-01 16:00:00,583,565,18,4,Free Height Dimension Out-of-Spec
QC-7009,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-02 00:00:00,618,597,21,7,Shot Peening Surface Roughness Fail
QC-7010,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-01 08:00:00,562,532,30,8,Free Height Dimension Out-of-Spec
QC-7011,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-01 16:00:00,567,557,10,3,Free Height Dimension Out-of-Spec
QC-7012,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-02 00:00:00,594,576,18,6,Free Height Dimension Out-of-Spec
QC-7013,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-01 08:00:00,564,550,14,4,Quenching Hardness Non-Conforming
QC-7014,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-01 16:00:00,620,612,8,3,Quenching Hardness Non-Conforming
QC-7015,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-02 00:00:00,581,550,31,10,Shot Peening Surface Roughness Fail
QC-7016,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-01 08:00:00,635,620,15,6,Free Height Dimension Out-of-Spec
QC-7017,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-01 16:00:00,592,580,12,5,Bending Angle Angular Deviation
QC-7018,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-02 00:00:00,585,553,32,8,Quenching Hardness Non-Conforming
QC-7019,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-01 08:00:00,478,465,13,3,Free Height Dimension Out-of-Spec
QC-7020,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-01 16:00:00,472,462,10,3,Quenching Hardness Non-Conforming
QC-7021,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-02 00:00:00,402,380,22,10,Quenching Hardness Non-Conforming
QC-7022,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-01 08:00:00,626,616,10,3,Bending Angle Angular Deviation
QC-7023,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-01 16:00:00,573,566,7,3,Shot Peening Surface Roughness Fail
QC-7024,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-02 00:00:00,599,567,32,13,Free Height Dimension Out-of-Spec
QC-7025,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-02 08:00:00,958,945,13,5,Quenching Hardness Non-Conforming
QC-7026,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-02 16:00:00,940,889,51,15,Shot Peening Surface Roughness Fail
QC-7027,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-03 00:00:00,935,923,12,2,Bending Angle Angular Deviation
QC-7028,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-02 08:00:00,942,929,13,4,Surface Micro-Crack Defect
QC-7029,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-02 16:00:00,968,950,18,4,Shot Peening Surface Roughness Fail
QC-7030,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-03 00:00:00,860,813,47,13,Quenching Hardness Non-Conforming
QC-7031,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-02 08:00:00,632,617,15,6,Surface Micro-Crack Defect
QC-7032,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-02 16:00:00,398,377,21,10,Bending Angle Angular Deviation
QC-7033,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-03 00:00:00,576,566,10,3,Shot Peening Surface Roughness Fail
QC-7034,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-02 08:00:00,624,615,9,3,Quenching Hardness Non-Conforming
QC-7035,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-02 16:00:00,585,574,11,5,Free Height Dimension Out-of-Spec
QC-7036,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-03 00:00:00,634,618,16,6,Quenching Hardness Non-Conforming
QC-7037,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-02 08:00:00,598,582,16,7,Shot Peening Surface Roughness Fail
QC-7038,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-02 16:00:00,614,601,13,5,Surface Micro-Crack Defect
QC-7039,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-03 00:00:00,610,603,7,2,Surface Micro-Crack Defect
QC-7040,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-02 08:00:00,602,590,12,4,Quenching Hardness Non-Conforming
QC-7041,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-02 16:00:00,588,577,11,3,Free Height Dimension Out-of-Spec
QC-7042,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-03 00:00:00,570,553,17,8,Quenching Hardness Non-Conforming
QC-7043,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-02 08:00:00,447,438,9,4,Bending Angle Angular Deviation
QC-7044,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-02 16:00:00,434,423,11,2,Quenching Hardness Non-Conforming
QC-7045,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-03 00:00:00,428,414,14,5,Free Height Dimension Out-of-Spec
QC-7046,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-02 08:00:00,506,493,13,5,Free Height Dimension Out-of-Spec
QC-7047,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-02 16:00:00,506,496,10,4,Free Height Dimension Out-of-Spec
QC-7048,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-03 00:00:00,463,451,12,4,Bending Angle Angular Deviation
QC-7049,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-03 08:00:00,931,904,27,11,Shot Peening Surface Roughness Fail
QC-7050,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-03 16:00:00,957,938,19,4,Surface Micro-Crack Defect
QC-7051,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-04 00:00:00,939,922,17,7,Surface Micro-Crack Defect
QC-7052,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-03 08:00:00,957,936,21,5,Quenching Hardness Non-Conforming
QC-7053,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-03 16:00:00,960,931,29,8,Surface Micro-Crack Defect
QC-7054,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-04 00:00:00,923,900,23,6,Shot Peening Surface Roughness Fail
QC-7055,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-03 08:00:00,587,572,15,7,Free Height Dimension Out-of-Spec
QC-7056,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-03 16:00:00,615,595,20,5,Shot Peening Surface Roughness Fail
QC-7057,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-04 00:00:00,587,568,19,4,Surface Micro-Crack Defect
QC-7058,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-03 08:00:00,607,591,16,4,Free Height Dimension Out-of-Spec
QC-7059,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-03 16:00:00,645,623,22,7,Bending Angle Angular Deviation
QC-7060,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-04 00:00:00,553,542,11,2,Surface Micro-Crack Defect
QC-7061,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-03 08:00:00,600,586,14,5,Bending Angle Angular Deviation
QC-7062,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-03 16:00:00,641,632,9,2,Shot Peening Surface Roughness Fail
QC-7063,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-04 00:00:00,615,602,13,5,Shot Peening Surface Roughness Fail
QC-7064,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-03 08:00:00,607,574,33,15,Free Height Dimension Out-of-Spec
QC-7065,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-03 16:00:00,582,569,13,3,Quenching Hardness Non-Conforming
QC-7066,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-04 00:00:00,608,597,11,4,Quenching Hardness Non-Conforming
QC-7067,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-03 08:00:00,426,419,7,1,Free Height Dimension Out-of-Spec
QC-7068,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-03 16:00:00,435,424,11,2,Bending Angle Angular Deviation
QC-7069,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-04 00:00:00,443,434,9,1,Free Height Dimension Out-of-Spec
QC-7070,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-03 08:00:00,595,577,18,6,Surface Micro-Crack Defect
QC-7071,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-03 16:00:00,629,609,20,7,Surface Micro-Crack Defect
QC-7072,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-04 00:00:00,585,574,11,4,Shot Peening Surface Roughness Fail
QC-7073,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-04 08:00:00,1052,1040,12,5,Free Height Dimension Out-of-Spec
QC-7074,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-04 16:00:00,1000,975,25,6,Quenching Hardness Non-Conforming
QC-7075,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-05 00:00:00,934,916,18,8,Free Height Dimension Out-of-Spec
QC-7076,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-04 08:00:00,1022,989,33,14,Quenching Hardness Non-Conforming
QC-7077,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-04 16:00:00,1028,999,29,10,Free Height Dimension Out-of-Spec
QC-7078,MCH-COILING-02,SKU-CS-HONDA-02,2026-07-05 00:00:00,866,819,47,20,Shot Peening Surface Roughness Fail
QC-7079,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-04 08:00:00,529,500,29,6,Shot Peening Surface Roughness Fail
QC-7080,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-04 16:00:00,581,573,8,3,Quenching Hardness Non-Conforming
QC-7081,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-05 00:00:00,586,569,17,7,Free Height Dimension Out-of-Spec
QC-7082,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-04 08:00:00,501,493,8,3,Surface Micro-Crack Defect
QC-7083,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-04 16:00:00,535,528,7,2,Bending Angle Angular Deviation
