manpower_log_id,log_date,shift_number,line_id,operator_headcount,total_working_hours,effective_working_hours
MP-20260701-LINE-SPRING-01-S1,2026-07-01,1,LINE-SPRING-01,11,8.0,7.83
MP-20260701-LINE-SPRING-01-S2,2026-07-01,2,LINE-SPRING-01,12,8.0,7.66
MP-20260701-LINE-SPRING-01-S3,2026-07-01,3,LINE-SPRING-01,12,8.0,7.22
MP-20260701-LINE-SPRING-02-S1,2026-07-01,1,LINE-SPRING-02,8,8.0,7.69
MP-20260701-LINE-SPRING-02-S2,2026-07-01,2,LINE-SPRING-02,8,8.0,7.82
MP-20260701-LINE-SPRING-02-S3,2026-07-01,3,LINE-SPRING-02,8,8.0,7.12
MP-20260701-LINE-COIL-01-S1,2026-07-01,1,LINE-COIL-01,12,8.0,7.87
MP-20260701-LINE-COIL-01-S2,2026-07-01,2,LINE-COIL-01,11,8.0,7.87
MP-20260701-LINE-COIL-01-S3,2026-07-01,3,LINE-COIL-01,12,8.0,7.3
MP-20260701-LINE-STABILIZER-01-S1,2026-07-01,1,LINE-STABILIZER-01,8,8.0,7.68
MP-20260701-LINE-STABILIZER-01-S2,2026-07-01,2,LINE-STABILIZER-01,8,8.0,7.61
MP-20260701-LINE-STABILIZER-01-S3,2026-07-01,3,LINE-STABILIZER-01,7,8.0,7.56
MP-20260702-LINE-SPRING-01-S1,2026-07-02,1,LINE-SPRING-01,12,8.0,7.72
MP-20260702-LINE-SPRING-01-S2,2026-07-02,2,LINE-SPRING-01,12,8.0,7.87
MP-20260702-LINE-SPRING-01-S3,2026-07-02,3,LINE-SPRING-01,10,8.0,7.49
MP-20260702-LINE-SPRING-02-S1,2026-07-02,1,LINE-SPRING-02,7,8.0,7.83
MP-20260702-LINE-SPRING-02-S2,2026-07-02,2,LINE-SPRING-02,8,8.0,7.79
MP-20260702-LINE-SPRING-02-S3,2026-07-02,3,LINE-SPRING-02,6,8.0,7.42
MP-20260702-LINE-COIL-01-S1,2026-07-02,1,LINE-COIL-01,12,8.0,7.73
MP-20260702-LINE-COIL-01-S2,2026-07-02,2,LINE-COIL-01,11,8.0,7.65
