wo_part_id,work_order_id,part_id,qty_used
WOP-3001-1,WO-3001,PRT-BELT-CONV-HT,1
WOP-3002-1,WO-3002,PRT-TC-KTYPE-1200C,6
WOP-3003-1,WO-3003,PRT-BRG-6205-2RS,2
WOP-3004-1,WO-3004,PRT-BRG-6205-2RS,2
WOP-3005-1,WO-3005,PRT-BELT-CONV-HT,1
WOP-3006-1,WO-3006,PRT-NOZZLE-CARB-08,2
WOP-3007-1,WO-3007,PRT-NOZZLE-CARB-08,2
WOP-3008-1,WO-3008,PRT-NOZZLE-CARB-08,7
WOP-3009-1,WO-3009,PRT-BELT-CONV-HT,1
WOP-3010-1,WO-3010,PRT-NOZZLE-CARB-08,6
WOP-3011-1,WO-3011,PRT-SENS-IND-24V,1
WOP-3012-1,WO-3012,PRT-BELT-CONV-HT,1
WOP-3013-1,WO-3013,PRT-BRG-6205-2RS,4
WOP-3014-1,WO-3014,PRT-TC-KTYPE-1200C,6
WOP-3015-1,WO-3015,PRT-SENS-IND-24V,1
WOP-3018-1,WO-3018,PRT-BELT-CONV-HT,1
WOP-3019-1,WO-3019,PRT-TC-KTYPE-1200C,1
WOP-3021-1,WO-3021,PRT-BRG-6205-2RS,2
WOP-3022-1,WO-3022,PRT-SEAL-HT-50,3
WOP-3023-1,WO-3023,PRT-TC-KTYPE-1200C,5
WOP-3024-1,WO-3024,PRT-BELT-CONV-HT,1
WOP-3025-1,WO-3025,PRT-NOZZLE-CARB-08,6
WOP-3026-1,WO-3026,PRT-BELT-CONV-HT,1
WOP-3027-1,WO-3027,PRT-TC-KTYPE-1200C,6
WOP-3028-1,WO-3028,PRT-HYD-VALVE-PROP,2
WOP-3030-1,WO-3030,PRT-SENS-IND-24V,3
WOP-3031-1,WO-3031,PRT-TC-KTYPE-1200C,2
WOP-3032-1,WO-3032,PRT-SEAL-HT-50,1
WOP-3035-1,WO-3035,PRT-BRG-6205-2RS,1
WOP-3036-1,WO-3036,PRT-SENS-IND-24V,1
